Crypto Name,Price,TimeStamp
Bitcoin price,"68,897.10",2024-05-25 16:32:38.700704
Bitcoin price,"68,897.10",2024-05-25 16:32:49.553714
Bitcoin price,"68,897.10",2024-05-25 16:33:00.250021
Bitcoin price,"68,923.07",2024-05-25 16:33:10.982151
Bitcoin price,"68,923.07",2024-05-25 16:33:21.719055
Bitcoin price,"68,923.07",2024-05-25 16:33:32.615087
Bitcoin price,"68,923.07",2024-05-25 16:33:43.399333
Bitcoin price,"68,923.07",2024-05-25 16:33:54.135250
Bitcoin price,"68,923.07",2024-05-25 16:34:05.649957
Bitcoin price,"68,923.07",2024-05-25 16:34:16.421812
Bitcoin price,"68,923.07",2024-05-25 16:34:27.127087
Bitcoin price,"68,923.07",2024-05-25 16:34:37.728688
Bitcoin price,"68,923.07",2024-05-25 16:34:48.442144
Bitcoin price,"68,923.07",2024-05-25 16:34:59.202784
Bitcoin price,"68,923.07",2024-05-25 16:35:10.191969
Bitcoin price,"69,011.98",2024-05-25 16:35:20.961726
Bitcoin price,"69,011.98",2024-05-25 16:35:31.750171
Bitcoin price,"69,011.98",2024-05-25 16:35:42.608488
Bitcoin price,"69,011.98",2024-05-25 16:35:53.287396
